"num_of_columns","columns","wlp"
"13","1 2 4 8 16 31 7 11 21 25 13 14 19","0 0 0 55 0 96 0 87 0 16 0 1 0"
"13","1 2 4 8 16 31 7 11 21 25 13 14 17","0 0 4 38 32 52 56 33 32 4 4 0 0"
"13","1 2 4 8 16 31 7 11 21 25 13 14 3","0 0 4 38 33 52 52 33 38 4 0 0 1"
"13","1 2 4 8 16 31 7 11 21 13 14 26 3","0 0 4 39 32 48 56 39 32 0 4 1 0"
"13","1 2 4 8 16 31 7 11 21 25 13 14 5","0 0 5 38 28 52 62 33 28 4 5 0 0"
"13","1 2 4 8 16 15 19 21 25 30 3 5 23","0 0 6 28 51 42 42 51 28 6 0 0 1"
"13","1 2 4 8 16 31 7 11 21 25 13 3 17","0 0 6 29 46 46 50 41 26 10 0 1 0"
"13","1 2 4 8 16 31 7 11 21 13 14 17 18","0 0 6 30 44 44 56 41 20 12 2 0 0"
"13","1 2 4 8 16 31 7 11 21 13 14 17 20","0 0 6 31 44 40 56 47 20 8 2 1 0"
"13","1 2 4 8 16 31 7 11 21 13 14 26 5","0 0 6 39 24 48 68 39 24 0 6 1 0"
"13","1 2 4 8 16 15 19 21 25 30 3 5 10","0 0 7 26 48 48 46 45 24 8 3 0 0"
"13","1 2 4 8 16 31 7 11 21 25 13 3 18","0 0 7 28 42 50 56 35 22 14 1 0 0"
"13","1 2 4 8 16 15 19 21 25 30 3 5 6","0 0 7 28 46 42 52 51 18 6 5 0 0"
"13","1 2 4 8 16 31 7 11 21 13 14 17 3","0 0 7 29 42 46 56 41 22 10 1 1 0"
"13","1 2 4 8 16 31 7 11 21 25 13 3 5","0 0 7 29 42 46 56 41 22 10 1 1 0"
"13","1 2 4 8 16 15 19 21 25 3 29 5 27","0 0 8 23 48 56 40 39 32 8 0 1 0"
"13","1 2 4 8 16 31 7 11 21 13 17 3 24","0 0 8 24 46 54 46 39 26 10 2 0 0"
"13","1 2 4 8 16 15 19 21 25 30 3 5 7","0 0 8 25 46 50 46 45 26 6 2 1 0"
"13","1 2 4 8 16 31 7 11 21 13 17 3 23","0 0 8 25 46 50 46 45 26 6 2 1 0"
"13","1 2 4 8 16 31 7 11 13 14 17 18 5","0 0 8 26 44 48 52 45 20 8 4 0 0"
"13","1 2 4 8 16 31 7 11 21 13 17 3 9","0 0 8 26 44 48 52 45 20 8 4 0 0"
"13","1 2 4 8 16 31 7 11 13 14 17 18 12","0 0 8 26 45 48 48 45 26 8 0 0 1"
"13","1 2 4 8 16 31 7 11 21 13 17 3 6","0 0 8 26 45 48 48 45 26 8 0 0 1"
"13","1 2 4 8 16 15 19 21 25 30 3 18 7","0 0 8 27 44 44 52 51 20 4 4 1 0"
"13","1 2 4 8 16 31 7 11 21 25 13 5 6","0 0 8 28 38 50 62 35 18 14 2 0 0"
"13","1 2 4 8 16 31 7 11 21 13 14 17 5","0 0 8 29 38 46 62 41 18 10 2 1 0"
"13","1 2 4 8 16 31 7 11 21 25 13 5 9","0 0 8 29 38 46 62 41 18 10 2 1 0"
"13","1 2 4 8 16 31 7 11 21 13 14 3 6","0 0 8 31 40 40 56 47 24 8 0 1 0"
"13","1 2 4 8 16 15 19 21 25 3 29 5 10","0 0 9 22 44 60 46 33 28 12 1 0 0"
"13","1 2 4 8 16 15 19 21 25 3 29 5 7","0 0 9 23 44 56 46 39 28 8 1 1 0"
"13","1 2 4 8 16 15 19 21 25 3 29 5 6","0 0 9 24 42 54 52 39 22 10 3 0 0"
"13","1 2 4 8 16 15 19 21 25 3 29 5 12","0 0 9 24 42 54 52 39 22 10 3 0 0"
"13","1 2 4 8 16 15 19 21 25 7 9 3 20","0 0 9 24 42 54 52 39 22 10 3 0 0"
"13","1 2 4 8 16 15 19 21 25 30 3 5 17","0 0 9 24 42 54 52 39 22 10 3 0 0"
"13","1 2 4 8 16 31 7 11 21 13 3 18 20","0 0 9 24 42 54 52 39 22 10 3 0 0"
"13","1 2 4 8 16 31 7 11 21 13 17 3 10","0 0 9 24 42 54 52 39 22 10 3 0 0"
"13","1 2 4 8 16 31 7 11 21 13 17 3 18","0 0 9 24 42 54 52 39 22 10 3 0 0"
"13","1 2 4 8 16 31 7 11 21 13 17 20 10","0 0 9 24 42 54 52 39 22 10 3 0 0"
"13","1 2 4 8 16 31 7 11 21 25 3 17 23","0 0 9 24 42 54 52 39 22 10 3 0 0"
"13","1 2 4 8 16 15 19 21 25 7 9 3 5","0 0 9 25 42 50 52 45 22 6 3 1 0"
"13","1 2 4 8 16 31 7 11 21 13 17 3 5","0 0 9 25 42 50 52 45 22 6 3 1 0"
"13","1 2 4 8 16 31 7 11 13 14 17 18 3","0 0 9 26 40 48 58 45 16 8 5 0 0"
"13","1 2 4 8 16 31 7 11 21 13 20 3 6","0 0 9 26 40 48 58 45 16 8 5 0 0"
"13","1 2 4 8 16 15 19 21 25 3 5 23 6","0 0 9 28 42 42 52 51 22 6 3 0 0"
"13","1 2 4 8 16 31 7 11 21 13 14 3 5","0 0 9 30 36 44 62 41 20 12 1 0 0"
"13","1 2 4 8 16 15 19 21 9 31 3 6 11","0 0 10 22 40 60 52 33 24 12 2 0 0"
"13","1 2 4 8 16 15 19 21 9 31 3 6 23","0 0 10 22 40 60 52 33 24 12 2 0 0"
"13","1 2 4 8 16 15 19 21 9 31 3 6 10","0 0 10 23 40 56 52 39 24 8 2 1 0"
"13","1 2 4 8 16 15 19 21 25 3 5 10 12","0 0 10 23 40 56 52 39 24 8 2 1 0"
"13","1 2 4 8 16 15 19 21 25 3 29 5 17","0 0 10 23 40 56 52 39 24 8 2 1 0"
"13","1 2 4 8 16 15 19 21 25 3 29 12 18","0 0 10 23 40 56 52 39 24 8 2 1 0"
"13","1 2 4 8 16 15 19 21 25 7 9 3 6","0 0 10 23 40 56 52 39 24 8 2 1 0"
"13","1 2 4 8 16 15 19 21 25 7 9 23 6","0 0 10 23 40 56 52 39 24 8 2 1 0"
"13","1 2 4 8 16 15 19 21 25 30 3 7 17","0 0 10 23 40 56 52 39 24 8 2 1 0"
"13","1 2 4 8 16 31 7 11 13 18 20 3 5","0 0 10 23 40 56 52 39 24 8 2 1 0"
"13","1 2 4 8 16 31 7 11 21 13 3 18 10","0 0 10 24 38 54 58 39 18 10 4 0 0"
"13","1 2 4 8 16 31 7 11 21 13 20 3 5","0 0 10 24 38 54 58 39 18 10 4 0 0"
"13","1 2 4 8 16 31 7 11 21 13 3 18 5","0 0 10 24 39 54 54 39 24 10 0 0 1"
"13","1 2 4 8 16 31 7 11 21 13 17 10 15","0 0 10 24 39 54 54 39 24 10 0 0 1"
"13","1 2 4 8 16 31 7 11 21 25 3 5 6","0 0 10 24 39 54 54 39 24 10 0 0 1"
"13","1 2 4 8 16 31 7 11 21 25 3 17 18","0 0 10 24 39 54 54 39 24 10 0 0 1"
"13","1 2 4 8 16 31 7 11 21 13 3 23 5","0 0 10 25 38 50 58 45 18 6 4 1 0"
"13","1 2 4 8 16 31 7 11 21 13 17 10 5","0 0 10 25 38 50 58 45 18 6 4 1 0"
"13","1 2 4 8 16 31 7 11 21 13 17 20 5","0 0 10 25 38 50 58 45 18 6 4 1 0"
"13","1 2 4 8 16 31 7 11 21 13 20 3 23","0 0 10 25 38 50 58 45 18 6 4 1 0"
"13","1 2 4 8 16 15 19 21 25 3 5 23 7","0 0 10 25 42 50 46 45 30 6 0 1 0"
"13","1 2 4 8 16 31 7 11 13 14 17 3 5","0 0 10 26 40 48 52 45 24 8 2 0 0"
"13","1 2 4 8 16 31 7 11 21 13 3 6 10","0 0 10 26 40 48 52 45 24 8 2 0 0"
"13","1 2 4 8 16 15 19 21 25 30 3 18 17","0 0 10 27 36 44 64 51 12 4 6 1 0"
"13","1 2 4 8 16 31 7 11 13 14 17 3 12","0 0 10 27 40 44 52 51 24 4 2 1 0"
"13","1 2 4 8 16 31 7 11 21 13 14 5 10","0 0 10 31 32 40 68 47 16 8 2 1 0"
"13","1 2 4 8 16 15 19 5 24 13 3 23 11","0 0 11 22 36 60 58 33 20 12 3 0 0"
"13","1 2 4 8 16 15 19 21 25 3 5 10 17","0 0 11 22 36 60 58 33 20 12 3 0 0"
"13","1 2 4 8 16 15 19 21 25 7 9 6 17","0 0 11 22 36 60 58 33 20 12 3 0 0"
"13","1 2 4 8 16 15 19 21 9 31 3 10 11","0 0 11 23 36 56 58 39 20 8 3 1 0"
"13","1 2 4 8 16 31 7 11 13 18 20 3 6","0 0 11 23 36 56 58 39 20 8 3 1 0"
"13","1 2 4 8 16 31 7 11 21 13 20 5 10","0 0 11 24 34 54 64 39 14 10 5 0 0"
"13","1 2 4 8 16 15 19 21 9 23 3 6 20","0 0 11 24 38 54 52 39 26 10 1 0 0"
"13","1 2 4 8 16 15 19 21 25 3 5 6 17","0 0 11 24 38 54 52 39 26 10 1 0 0"
"13","1 2 4 8 16 15 19 21 25 3 5 7 17","0 0 11 24 38 54 52 39 26 10 1 0 0"
"13","1 2 4 8 16 15 19 21 25 3 5 7 6","0 0 11 25 38 50 52 45 26 6 1 1 0"
"13","1 2 4 8 16 31 7 11 13 18 20 9 6","0 0 11 25 38 50 52 45 26 6 1 1 0"
"13","1 2 4 8 16 31 7 11 13 14 17 3 15","0 0 11 26 36 48 58 45 20 8 3 0 0"
"13","1 2 4 8 16 31 7 11 21 13 3 5 10","0 0 11 26 36 48 58 45 20 8 3 0 0"
"13","1 2 4 8 16 31 7 11 21 13 3 6 5","0 0 11 26 36 48 58 45 20 8 3 0 0"
"13","1 2 4 8 16 15 19 5 24 13 3 23 7","0 0 12 22 33 60 60 33 22 12 0 0 1"
"13","1 2 4 8 16 15 19 21 9 31 6 17 23","0 0 12 22 33 60 60 33 22 12 0 0 1"
"13","1 2 4 8 16 7 11 19 5 24 9 20 3","0 0 12 23 32 56 64 39 16 8 4 1 0"
"13","1 2 4 8 16 15 19 21 25 3 29 12 17","0 0 12 23 32 56 64 39 16 8 4 1 0"
"13","1 2 4 8 16 15 19 21 9 23 3 6 7","0 0 12 24 34 54 58 39 22 10 2 0 0"
"13","1 2 4 8 16 15 19 21 9 23 3 6 17","0 0 12 24 34 54 58 39 22 10 2 0 0"
"13","1 2 4 8 16 31 7 11 13 18 20 6 15","0 0 12 24 34 54 58 39 22 10 2 0 0"
"13","1 2 4 8 16 15 19 21 25 7 3 18 17","0 0 12 25 34 50 58 45 22 6 2 1 0"
"13","1 2 4 8 16 31 7 11 21 6 10 15 5","0 0 12 25 34 50 58 45 22 6 2 1 0"
"13","1 2 4 8 16 31 7 11 13 14 3 5 9","0 0 12 30 41 44 44 41 30 12 0 0 1"
"13","1 2 4 8 16 31 7 11 13 14 3 5 10","0 0 12 31 40 40 48 47 24 8 4 1 0"
"13","1 2 4 8 16 7 11 19 5 24 9 12 3","0 0 13 24 30 54 64 39 18 10 3 0 0"
"13","1 2 4 8 16 31 7 11 13 18 3 12 15","0 0 13 24 30 54 64 39 18 10 3 0 0"
"13","1 2 4 8 16 31 7 11 13 18 5 10 15","0 0 13 26 32 48 58 45 24 8 1 0 0"
"13","1 2 4 8 16 31 7 11 21 13 5 10 15","0 0 13 28 30 42 64 51 18 6 3 0 0"
"13","1 2 4 8 16 15 19 21 3 5 23 17 6","0 0 13 29 38 46 48 41 26 10 3 1 0"
"13","1 2 4 8 16 15 19 21 3 5 23 17 7","0 0 13 29 38 46 48 41 26 10 3 1 0"
"13","1 2 4 8 16 31 7 11 13 14 3 5 6","0 0 13 30 36 44 54 41 20 12 5 0 0"
"13","1 2 4 8 16 31 7 11 13 14 3 5 15","0 0 13 30 36 44 54 41 20 12 5 0 0"
"13","1 2 4 8 16 7 11 19 5 24 6 27 3","0 0 14 23 24 56 76 39 8 8 6 1 0"
"13","1 2 4 8 16 15 19 21 7 17 3 5 18","0 0 14 28 34 50 54 35 22 14 4 0 0"
"13","1 2 4 8 16 15 19 21 7 17 3 5 6","0 0 14 28 35 50 50 35 28 14 0 0 1"
"13","1 2 4 8 16 15 19 21 3 5 23 6 7","0 0 14 29 34 46 54 41 22 10 4 1 0"
"13","1 2 4 8 16 15 19 21 22 7 3 5 6","0 0 14 29 34 46 54 41 22 10 4 1 0"
"13","1 2 4 8 16 31 7 11 13 14 3 12 15","0 0 14 31 32 40 60 47 16 8 6 1 0"
"13","1 2 4 8 16 7 11 13 14 3 5 9 15","0 0 16 39 48 48 48 39 16 0 0 1 0"
"13","1 2 4 8 16 7 11 13 14 3 5 9 6","0 0 17 38 44 52 54 33 12 4 1 0 0"
"13","3 4 5 6 7 8 9 10 11 12 13 14 15","0 0 22 55 72 96 116 87 40 16 6 1 0"
"14","1 2 4 8 16 31 7 11 21 25 13 14 19 22","0 0 0 77 0 168 0 203 0 56 0 7 0 0"
"14","1 2 4 8 16 31 7 11 21 25 13 14 19 3","0 0 5 55 45 96 106 87 82 16 17 1 1 0"
"14","1 2 4 8 16 31 7 11 21 25 13 14 19 6","0 0 6 55 40 96 116 87 72 16 22 1 0 0"
"14","1 2 4 8 16 31 7 11 21 25 13 14 17 18","0 0 8 42 64 85 112 85 64 42 8 0 0 1"
"14","1 2 4 8 16 31 7 11 21 25 13 14 17 3","0 0 8 42 65 84 108 89 70 36 4 4 1 0"
"14","1 2 4 8 16 31 7 11 21 13 14 26 3 17","0 0 8 43 64 80 112 95 64 32 8 5 0 0"
"14","1 2 4 8 16 31 7 11 21 25 13 14 17 20","0 0 8 43 64 80 112 95 64 32 8 5 0 0"
"14","1 2 4 8 16 31 7 11 21 13 14 26 3 6","0 0 8 45 64 72 112 107 64 24 8 7 0 0"
"14","1 2 4 8 16 15 19 21 25 30 3 5 23 9","0 0 9 37 73 84 94 103 70 28 9 3 1 0"
"14","1 2 4 8 16 31 7 11 21 13 14 17 18 20","0 0 9 39 69 80 106 103 58 32 13 1 1 0"
"14","1 2 4 8 16 15 19 21 25 30 3 5 23 6","0 0 9 41 69 72 106 115 58 24 13 3 1 0"
"14","1 2 4 8 16 31 7 11 21 25 13 14 17 5","0 0 9 42 60 84 118 89 60 36 9 4 0 0"
"14","1 2 4 8 16 31 7 11 21 25 13 14 3 5","0 0 9 43 61 80 114 95 66 32 5 5 1 0"
"14","1 2 4 8 16 15 19 21 25 30 3 5 10 29","0 0 10 34 72 93 92 93 72 34 10 0 0 1"
"14","1 2 4 8 16 15 19 21 25 30 3 5 10 12","0 0 10 35 72 88 92 103 72 24 10 5 0 0"
"14","1 2 4 8 16 31 7 11 21 13 14 17 18 6","0 0 10 36 69 88 100 97 66 32 10 2 1 0"
"14","1 2 4 8 16 31 7 11 21 25 13 3 17 6","0 0 10 36 69 88 100 97 66 32 10 2 1 0"
"14","1 2 4 8 16 31 7 11 21 13 14 17 20 3","0 0 10 37 68 84 104 103 60 28 14 3 0 0"
"14","1 2 4 8 16 31 7 11 21 25 13 3 17 5","0 0 10 37 68 84 104 103 60 28 14 3 0 0"
"14","1 2 4 8 16 31 7 11 21 25 13 14 5 6","0 0 10 42 56 85 124 85 56 42 10 0 0 1"
"14","1 2 4 8 16 31 7 11 21 13 14 26 3 5","0 0 10 43 56 80 124 95 56 32 10 5 0 0"
"14","1 2 4 8 16 31 7 11 21 25 13 14 5 9","0 0 10 43 56 80 124 95 56 32 10 5 0 0"
"14","1 2 4 8 16 15 19 21 25 3 29 5 27 7","0 0 11 33 69 96 94 91 74 32 7 3 1 0"
"14","1 2 4 8 16 15 19 21 25 30 3 5 10 7","0 0 11 34 68 92 98 97 68 28 11 4 0 0"
"14","1 2 4 8 16 31 7 11 21 13 17 3 24 12","0 0 11 34 68 92 98 97 68 28 11 4 0 0"
"14","1 2 4 8 16 31 7 11 21 25 13 3 17 18","0 0 11 35 65 92 106 91 62 36 11 1 1 0"
"14","1 2 4 8 16 31 7 11 21 25 13 3 18 5","0 0 11 35 65 92 106 91 62 36 11 1 1 0"
"14","1 2 4 8 16 31 7 11 21 25 13 3 18 20","0 0 11 35 65 92 106 91 62 36 11 1 1 0"
"14","1 2 4 8 16 15 19 21 25 30 3 5 23 7","0 0 11 35 69 88 94 103 74 24 7 5 1 0"
"14","1 2 4 8 16 31 7 11 21 13 14 17 18 3","0 0 11 36 64 88 110 97 56 32 15 2 0 0"
"14","1 2 4 8 16 31 7 11 21 13 14 17 18 5","0 0 11 36 64 88 110 97 56 32 15 2 0 0"
"14","1 2 4 8 16 31 7 11 21 25 13 3 18 6","0 0 11 36 64 88 110 97 56 32 15 2 0 0"
"14","1 2 4 8 16 31 7 11 21 13 14 17 3 6","0 0 11 37 65 84 106 103 62 28 11 3 1 0"
"14","1 2 4 8 16 31 7 11 21 13 14 17 20 10","0 0 11 37 65 84 106 103 62 28 11 3 1 0"
"14","1 2 4 8 16 31 7 11 21 25 13 3 5 9","0 0 11 37 65 84 106 103 62 28 11 3 1 0"
"14","1 2 4 8 16 31 7 11 21 13 17 3 24 15","0 0 12 32 65 100 100 85 70 36 8 2 1 0"
"14","1 2 4 8 16 15 19 21 25 3 29 5 10 12","0 0 12 33 64 96 104 91 64 32 12 3 0 0"
"14","1 2 4 8 16 15 19 21 25 3 29 5 12 18","0 0 12 33 64 96 104 91 64 32 12 3 0 0"
"14","1 2 4 8 16 15 19 21 25 3 29 5 27 6","0 0 12 33 64 96 104 91 64 32 12 3 0 0"
"14","1 2 4 8 16 15 19 21 25 30 3 5 10 17","0 0 12 33 64 96 104 91 64 32 12 3 0 0"
"14","1 2 4 8 16 31 7 11 21 13 17 3 23 10","0 0 12 33 64 96 104 91 64 32 12 3 0 0"
"14","1 2 4 8 16 31 7 11 21 13 17 3 24 5","0 0 12 33 64 96 104 91 64 32 12 3 0 0"
"14","1 2 4 8 16 31 7 11 21 13 17 3 24 9","0 0 12 33 64 96 104 91 64 32 12 3 0 0"
"14","1 2 4 8 16 31 7 11 21 13 17 3 24 10","0 0 12 33 64 96 104 91 64 32 12 3 0 0"
"14","1 2 4 8 16 31 7 11 21 25 3 17 23 27","0 0 12 33 64 96 104 91 64 32 12 3 0 0"
"14","1 2 4 8 16 15 19 21 25 3 29 5 6 18","0 0 12 34 64 93 104 93 64 34 12 0 0 1"
"14","1 2 4 8 16 15 19 21 25 30 3 5 6 17","0 0 12 34 64 93 104 93 64 34 12 0 0 1"
"14","1 2 4 8 16 31 7 11 13 14 17 18 5 9","0 0 12 34 64 93 104 93 64 34 12 0 0 1"
"14","1 2 4 8 16 31 7 11 21 13 17 3 9 15","0 0 12 34 64 93 104 93 64 34 12 0 0 1"
"14","1 2 4 8 16 31 7 11 13 14 17 18 5 12","0 0 12 34 65 92 100 97 70 28 8 4 1 0"
"14","1 2 4 8 16 31 7 11 21 13 17 3 23 6","0 0 12 34 65 92 100 97 70 28 8 4 1 0"
"14","1 2 4 8 16 31 7 11 21 25 13 5 6 18","0 0 12 35 60 92 116 91 52 36 16 1 0 0"
"14","1 2 4 8 16 15 19 21 25 30 3 5 6 7","0 0 12 35 64 88 104 103 64 24 12 5 0 0"
"14","1 2 4 8 16 15 19 21 25 30 3 5 7 22","0 0 12 35 64 88 104 103 64 24 12 5 0 0"
"14","1 2 4 8 16 31 7 11 13 14 17 18 5 6","0 0 12 35 64 88 104 103 64 24 12 5 0 0"
"14","1 2 4 8 16 31 7 11 21 13 17 3 23 5","0 0 12 35 64 88 104 103 64 24 12 5 0 0"
"14","1 2 4 8 16 31 7 11 21 13 17 3 23 20","0 0 12 35 64 88 104 103 64 24 12 5 0 0"
"14","1 2 4 8 16 31 7 11 21 13 14 17 3 5","0 0 12 36 61 88 112 97 58 32 12 2 1 0"
"14","1 2 4 8 16 31 7 11 21 25 13 3 5 6","0 0 12 36 61 88 112 97 58 32 12 2 1 0"
"14","1 2 4 8 16 31 7 11 21 25 13 5 6 9","0 0 12 36 61 88 112 97 58 32 12 2 1 0"
"14","1 2 4 8 16 31 7 11 21 13 14 17 20 5","0 0 12 37 60 84 116 103 52 28 16 3 0 0"
"14","1 2 4 8 16 31 7 11 21 25 13 5 9 15","0 0 12 37 60 84 116 103 52 28 16 3 0 0"
"14","1 2 4 8 16 15 19 21 25 30 3 18 7 22","0 0 12 37 64 80 104 115 64 16 12 7 0 0"
"14","1 2 4 8 16 31 7 11 21 13 14 3 6 9","0 0 12 41 64 72 104 115 64 24 12 3 0 0"
"14","1 2 4 8 16 31 7 11 21 13 14 26 5 10","0 0 12 45 48 72 136 107 48 24 12 7 0 0"
"14","1 2 4 8 16 15 19 21 25 3 29 5 10 17","0 0 13 31 61 104 106 79 66 40 9 1 1 0"
"14","1 2 4 8 16 31 7 11 21 13 3 18 20 10","0 0 13 32 60 100 110 85 60 36 13 2 0 0"
"14","1 2 4 8 16 31 7 11 21 13 17 3 10 18","0 0 13 32 60 100 110 85 60 36 13 2 0 0"
"14","1 2 4 8 16 15 19 21 25 3 29 5 6 17","0 0 13 33 61 96 106 91 66 32 9 3 1 0"
"14","1 2 4 8 16 15 19 21 25 3 29 5 7 6","0 0 13 33 61 96 106 91 66 32 9 3 1 0"
"14","1 2 4 8 16 15 19 21 25 3 29 5 7 17","0 0 13 33 61 96 106 91 66 32 9 3 1 0"
"14","1 2 4 8 16 15 19 21 25 7 9 3 20 6","0 0 13 33 61 96 106 91 66 32 9 3 1 0"
"14","1 2 4 8 16 15 19 21 25 30 3 5 7 17","0 0 13 33 61 96 106 91 66 32 9 3 1 0"
"14","1 2 4 8 16 31 7 11 21 13 3 18 20 5","0 0 13 33 61 96 106 91 66 32 9 3 1 0"
"14","1 2 4 8 16 31 7 11 21 13 17 3 10 15","0 0 13 33 61 96 106 91 66 32 9 3 1 0"
"14","1 2 4 8 16 31 7 11 21 13 17 3 18 5","0 0 13 33 61 96 106 91 66 32 9 3 1 0"
"14","1 2 4 8 16 31 7 11 21 13 17 20 10 15","0 0 13 33 61 96 106 91 66 32 9 3 1 0"
"14","1 2 4 8 16 31 7 11 13 14 17 18 5 3","0 0 13 34 60 92 110 97 60 28 13 4 0 0"
"14","1 2 4 8 16 31 7 11 21 13 3 18 20 6","0 0 13 34 60 92 110 97 60 28 13 4 0 0"
"14","1 2 4 8 16 31 7 11 21 13 17 3 9 10","0 0 13 34 60 92 110 97 60 28 13 4 0 0"
"14","1 2 4 8 16 31 7 11 21 13 17 3 10 5","0 0 13 34 60 92 110 97 60 28 13 4 0 0"
"14","1 2 4 8 16 31 7 11 13 14 17 18 12 3","0 0 13 35 61 88 106 103 66 24 9 5 1 0"
"14","1 2 4 8 16 31 7 11 21 13 17 3 6 5","0 0 13 35 61 88 106 103 66 24 9 5 1 0"
"14","1 2 4 8 16 31 7 11 21 13 14 17 5 10","0 0 13 37 57 84 118 103 54 28 13 3 1 0"
"14","1 2 4 8 16 31 7 11 21 25 13 5 9 12","0 0 13 37 57 84 118 103 54 28 13 3 1 0"
"14","1 2 4 8 16 31 7 11 21 13 14 3 6 10","0 0 13 39 61 80 106 103 66 32 9 1 1 0"
"14","1 2 4 8 16 15 19 21 25 3 5 10 12 17","0 0 14 31 56 104 116 79 56 40 14 1 0 0"
"14","1 2 4 8 16 15 19 21 9 31 3 6 11 10","0 0 14 32 57 100 112 85 62 36 10 2 1 0"
"14","1 2 4 8 16 15 19 21 9 31 3 6 23 7","0 0 14 32 57 100 112 85 62 36 10 2 1 0"
"14","1 2 4 8 16 15 19 21 25 3 29 5 12 17","0 0 14 33 56 96 116 91 56 32 14 3 0 0"
"14","1 2 4 8 16 31 7 11 13 18 20 3 5 15","0 0 14 33 56 96 116 91 56 32 14 3 0 0"
"14","1 2 4 8 16 31 7 11 21 13 17 20 10 5","0 0 14 33 56 96 116 91 56 32 14 3 0 0"
"14","1 2 4 8 16 31 7 11 21 13 20 3 5 23","0 0 14 33 56 96 116 91 56 32 14 3 0 0"
